name,price,fuel_type,year,kms,cv,location,url,brand,model,engine,version
BMW Z3 3.0i Coupe,27800.0,Gasolina,2001,206000,231,Córdoba,https://www.coches.net/bmw-z3-30i-coupe-2p-gasolina-2002-en-cordoba-60846326-covo.aspx,BMW,Z3,3.0,3.0 COUPE
BMW Z3 3.0i Coupe,27990.0,Gasolina,2000,253125,231,Valencia,https://www.coches.net/bmw-z3-3.0i-coupe-2p-gasolina-2000-en-valencia-60402082-covo.aspx,BMW,Z3,3.0,3.0 COUPE
BMW Z3,28000.0,Gasolina,2001,174000,231,Las Palmas,https://www.coches.net/bmw-z3-gasolina-2001-en-las_palmas-60438204-covo.aspx,BMW,Z3,3.0,3.0
BMW Z3 M ROADSTER 3.2,34495.0,Gasolina,1999,158300,321,Ourense,https://www.coches.net/bmw-z3-m-roadster-32-2p-gasolina-1999-en-orense-60617031-covo.aspx,BMW,Z3,3.2,3.2 ROADSTER M
BMW Z3 M ROADSTER 3.2,35000.0,Gasolina,1998,150000,321,Baleares,https://www.coches.net/bmw-z3-m-roadster-32-2p-gasolina-1998-en-baleares-60670185-covo.aspx,BMW,Z3,3.2,3.2 ROADSTER M
BMW Z3 3.0i Roadster,35995.0,Gasolina,2002,31000,231,Madrid,https://www.coches.net/bmw-z3-3.0i-roadster-2p-gasolina-2002-en-madrid-60357149-covo.aspx,BMW,Z3,3.0,3.0 ROADSTER
BMW Z3 M 3.2,36600.0,Gasolina,1998,105000,321,Madrid,https://www.coches.net/bmw-z3-m-32-2p-gasolina-1998-en-madrid-59369301-covo.aspx,BMW,Z3,3.2,3.2 M
BMW Z3 M 3.2,42000.0,Gasolina,1997,135000,321,Madrid,https://www.coches.net/bmw-z3-m-32-2p-gasolina-1997-en-madrid-59523054-covo.aspx,BMW,Z3,3.2,3.2 M
BMW Z3 M ROADSTER 3.2,44990.0,Gasolina,1997,86500,321,Baleares,https://www.coches.net/bmw-serie-3-m3-2p-gasolina-1999-en-baleares-59088934-covo.aspx,BMW,Z3,3.2,3.2 ROADSTER M
BMW Z3 M Roadster,49990.0,Gasolina,2002,139000,325,Valencia,https://www.coches.net/bmw-z3-m-roadster-2p-gasolina-2002-en-valencia-59467909-covo.aspx,BMW,Z3,No data,ROADSTER M
BMW Z3 M COUPE 3.2,69000.0,Gasolina,1999,64918,321,A Coruña,https://www.coches.net/bmw-z3-m-coupe-3.2-3p-gasolina-1999-en-a-coruna-60234445-covo.aspx,BMW,Z3,3.2,3.2 COUPE M
BMW Z3 M Coupe,79990.0,Gasolina,2002,67000,325,Las Palmas,https://www.coches.net/bmw-z3-m-coupe-2p-gasolina-2002-en-las-palmas-60243576-covo.aspx,BMW,Z3,No data,COUPE M
BMW Z4 2.2i,8500.0,Gasolina,2004,206000,170,Badajoz,https://www.coches.net/bmw-z4-22i-2p-gasolina-2004-en-badajoz-60590946-covo.aspx,BMW,Z4,2.2,2.2
BMW Z4 2.0i,8900.0,Gasolina,2005,190000,150,Castellón,https://www.coches.net/bmw-z4-20i-2p-gasolina-2006-en-castellon-60713812-covo.aspx,BMW,Z4,2.0,2.0
BMW Z4 2.2i,8990.0,Gasolina,2005,189000,170,Madrid,https://www.coches.net/bmw-z4-22i-2p-gasolina-2005-en-madrid-60765722-covo.aspx,BMW,Z4,2.2,2.2
