name,price,fuel_type,year,kms,cv,location,url,brand,model,engine,version
BMW Z3 M 3.2,42000.0,Gasolina,1997,135000,321,Madrid,https://www.coches.net/bmw-z3-m-32-2p-gasolina-1997-en-madrid-59523054-covo.aspx,BMW,Z3,3.2,3.2
BMW Z3 2.8 ROADSTER,21600.0,Gasolina,2000,83000,193,Huesca,https://www.coches.net/bmw-z3-28-roadster-2p-gasolina-2000-en-huesca-60345218-covo.aspx,BMW,Z3,2.8,2.8 ROADSTER
BMW Z3 1.9I,14990.0,Gasolina,1996,73500,140,Madrid,https://www.coches.net/bmw-z3-19i-2p-gasolina-1996-en-madrid-60541034-covo.aspx,BMW,Z3,1.9,1.9
BMW Z3 M ROADSTER 3.2,44990.0,Gasolina,1997,86500,321,Baleares,https://www.coches.net/bmw-serie-3-m3-2p-gasolina-1999-en-baleares-59088934-covo.aspx,BMW,Z3,3.2,3.2 ROADSTER
BMW Z3,25000.0,Gasolina,2000,24000,193,Burgos,https://www.coches.net/bmw-z3-gasolina-2000-en-burgos-60343340-covo.aspx,BMW,Z3,2.8,2.8
BMW Z3,7800.0,Gasolina,1999,186000,,Valencia,https://www.coches.net/bmw-z3-gasolina-1999-en-valencia-60513692-covo.aspx,BMW,Z3,No data,No data
BMW Z3 M COUPE 3.2,69000.0,Gasolina,1999,64918,321,A Coruña,https://www.coches.net/bmw-z3-m-coupe-3.2-3p-gasolina-1999-en-a-coruna-60234445-covo.aspx,BMW,Z3,3.2,3.2 COUPE
BMW Z3 1.9i Roadster,14990.0,Gasolina,2001,158000,118,Barcelona,https://www.coches.net/bmw-z3-19i-roadster-2p-gasolina-2001-en-barcelona-60245927-covo.aspx,BMW,Z3,1.9,1.9 ROADSTER
BMW Z3,14900.0,Gasolina,1997,146000,,Madrid,https://www.coches.net/bmw-z3-gasolina-1997-en-madrid-59948533-covo.aspx,BMW,Z3,No data,No data
BMW Z3 1.8I,10900.0,Gasolina,1996,110786,115,Cádiz,https://www.coches.net/bmw-z3-18i-2p-gasolina-1996-en-cadiz-60447460-covo.aspx,BMW,Z3,1.8,1.8
BMW Z3 1.9I,12000.0,Gasolina,1996,200000,140,Lleida,https://www.coches.net/bmw-z3-19i-2p-gasolina-1996-en-lleida-59090678-covo.aspx,BMW,Z3,1.9,1.9
BMW Z3 2.8 ROADSTER,10300.0,Gasolina,2001,187500,193,Las Palmas,https://www.coches.net/bmw-z3-28-roadster-2p-gasolina-2001-en-las_palmas-60430962-covo.aspx,BMW,Z3,2.8,2.8 ROADSTER
BMW Z3 1.9I,12500.0,Gasolina,1997,125000,140,Castellón,https://www.coches.net/bmw-z3-19i-2p-gasolina-1997-en-castellon-60154508-covo.aspx,BMW,Z3,1.9,1.9
BMW Z3,6450.0,Gasolina,1996,175258,,Sta. C. Tenerife,https://www.coches.net/bmw-z3-gasolina-1996-en-sta_c_tenerife-60423601-covo.aspx,BMW,Z3,No data,No data
BMW Z3,13500.0,Gasolina,2001,120000,,Huelva,https://www.coches.net/bmw-z3-gasolina-2001-en-huelva-59387678-covo.aspx,BMW,Z3,No data,No data
BMW Z3,17000.0,Gasolina,1998,40000,,Valencia,https://www.coches.net/bmw-z3-gasolina-1998-en-valencia-60533868-covo.aspx,BMW,Z3,No data,No data
BMW Z3,28000.0,Gasolina,2001,174000,231,Las Palmas,https://www.coches.net/bmw-z3-gasolina-2001-en-las_palmas-60438204-covo.aspx,BMW,Z3,3.0,3.0
BMW Z3 ROADSTER 1.9I,15000.0,Gasolina,1998,147000,140,Madrid,https://www.coches.net/bmw-z3-roadster-19i-2p-gasolina-1998-en-madrid-59338555-covo.aspx,BMW,Z3,1.9,1.9 ROADSTER
BMW Z3 2.8,16500.0,Gasolina,1997,180000,192,Murcia,https://www.coches.net/bmw-z3-28-2p-gasolina-1997-en-murcia-60301636-covo.aspx,BMW,Z3,2.8,2.8
BMW Z3,900.0,Gasolina,2000,167000,,Barcelona,https://www.coches.net/bmw-z3-gasolina-2000-en-barcelona-60412282-covo.aspx,BMW,Z3,No data,No data
BMW Z3,2150.0,Gasolina,1998,250000,,Madrid,https://www.coches.net/bmw-z3-gasolina-1998-en-madrid-60295853-covo.aspx,BMW,Z3,No data,No data
BMW Z3 2.2i Roadster,18000.0,Gasolina,2002,92000,170,Córdoba,https://www.coches.net/bmw-z3-22i-roadster-2p-gasolina-2002-en-cordoba-60058552-covo.aspx,BMW,Z3,2.2,2.2 ROADSTER
BMW Z3 3.0i Coupe,27990.0,Gasolina,2000,253125,231,Valencia,https://www.coches.net/bmw-z3-3.0i-coupe-2p-gasolina-2000-en-valencia-60402082-covo.aspx,BMW,Z3,3.0,3.0 COUPE
BMW Z3,8500.0,Gasolina,1998,194500,,Tarragona,https://www.coches.net/bmw-z3-gasolina-1998-en-tarragona-60747300-covo.aspx,BMW,Z3,No data,No data
BMW Z3 1.9I,11990.0,Gasolina,1997,91000,140,Sta. C. Tenerife,https://www.coches.net/bmw-z3-1.9i-2p-gasolina-1997-en-sta.-c.-tenerife-57449802-covo.aspx,BMW,Z3,1.9,1.9
BMW Z3 1.9i Roadster,15500.0,Gasolina,2002,75500,118,A Coruña,https://www.coches.net/bmw-z3-19i-roadster-2p-gasolina-2002-en-a_coruna-60261851-covo.aspx,BMW,Z3,1.9,1.9 ROADSTER
